,year,week,date,day,time_of_day,room_name,class_type,faculty,school,joint,status,degree,enrollment,class_duration,attendance,class_type_new,attendance_by_class,date-year,date-month,date-day,normalized_attendance,normalized_attendance2
0,2017,8,9/21/2017,2,2,2,0,2,16,0,4,2,452,1,95,3,1,2017,9,21,0.210176991,0
1,2017,2,8/9/2017,4,2,2,0,5,8,0,4,2,447,1,136,4,2,2017,8,9,0.304250559,1
2,2017,8,9/21/2017,2,0,2,0,5,15,0,4,2,419,1,93,3,1,2017,9,21,0.221957041,0
3,2017,2,8/8/2017,3,2,2,0,5,8,0,4,2,381,2,181,4,2,2017,8,8,0.475065617,1
4,2017,2,8/8/2017,3,1,2,0,2,16,0,4,2,459,2,182,4,2,2017,8,8,0.396514161,1
5,2017,9,10/5/2017,2,0,2,0,5,15,0,4,2,419,1,87,3,1,2017,10,5,0.207637232,0
6,2017,9,10/6/2017,0,2,2,0,5,15,0,4,2,419,1,57,3,1,2017,10,6,0.136038186,0
7,2017,8,9/19/2017,3,1,2,0,2,16,0,4,2,459,2,103,4,2,2017,9,19,0.224400871,0
8,2017,2,8/8/2017,3,2,2,0,2,16,0,4,2,452,2,59,3,1,2017,8,8,0.130530973,0
9,2017,4,8/23/2017,4,1,2,0,5,28,0,2,2,385,1,89,3,1,2017,8,23,0.231168831,0
10,2017,3,8/17/2017,2,1,2,0,5,28,0,2,2,385,1,73,3,1,2017,8,17,0.18961039,0
11,2017,4,8/23/2017,4,2,2,0,5,8,0,4,2,447,1,118,4,2,2017,8,23,0.263982103,0
12,2017,4,8/23/2017,4,3,2,0,6,22,0,4,0,62,1,54,3,1,2017,8,23,0.870967742,2
13,2017,2,8/9/2017,4,1,2,0,6,12,0,4,2,381,2,79,3,1,2017,8,9,0.207349081,0
14,2017,2,8/10/2017,2,0,2,0,5,15,0,4,2,419,1,163,4,2,2017,8,10,0.38902148,1
15,2017,2,8/10/2017,2,0,2,0,0,29,0,4,2,354,2,176,4,2,2017,8,10,0.497175141,1
16,2017,11,10/18/2017,4,1,2,0,6,12,0,4,2,381,2,58,3,1,2017,10,18,0.152230971,0
17,2017,11,10/18/2017,4,2,2,0,5,8,0,4,2,447,1,48,2,1,2017,10,18,0.10738255,0
18,2017,4,8/23/2017,4,1,2,0,6,12,0,4,2,381,2,180,4,2,2017,8,23,0.472440945,1
19,2017,4,8/23/2017,4,0,2,0,5,28,0,4,2,403,1,109,4,2,2017,8,23,0.270471464,0
20,2017,4,8/22/2017,3,0,2,0,6,11,0,4,2,366,2,153,4,2,2017,8,22,0.418032787,1
21,2017,9,10/4/2017,4,2,2,0,5,8,0,4,2,447,1,70,3,1,2017,10,4,0.156599553,0
22,2017,9,10/4/2017,4,0,2,0,2,16,0,4,2,457,1,127,4,2,2017,10,4,0.277899344,0
23,2017,2,8/9/2017,4,0,2,0,5,15,0,4,2,386,1,132,4,2,2017,8,9,0.341968912,1
24,2017,4,8/21/2017,1,3,2,0,6,22,0,4,0,42,1,42,2,1,2017,8,21,1,2
25,2017,4,8/21/2017,1,0,2,0,5,28,0,4,2,403,1,95,3,1,2017,8,21,0.23573201,0
26,2017,4,8/22/2017,3,1,2,0,2,16,0,4,2,459,2,166,4,2,2017,8,22,0.361655773,1
27,2017,4,8/22/2017,3,2,2,0,2,16,0,4,2,452,2,168,4,2,2017,8,22,0.371681416,1
28,2017,12,10/23/2017,1,0,2,0,2,17,0,4,2,424,2,145,4,2,2017,10,23,0.341981132,1
29,2017,9,10/4/2017,4,2,2,0,2,16,0,4,2,409,2,105,4,2,2017,10,4,0.256723716,0
30,2017,2,8/9/2017,4,0,2,0,2,16,0,4,2,457,1,158,4,2,2017,8,9,0.345733042,1
31,2017,2,8/9/2017,4,2,2,0,2,16,0,4,2,409,2,180,4,2,2017,8,9,0.4400978,1
32,2017,6,9/4/2017,1,2,2,0,2,16,0,4,2,457,2,177,4,2,2017,9,4,0.387308534,1
33,2017,9,10/6/2017,0,0,2,0,5,15,0,4,2,386,1,89,3,1,2017,10,6,0.230569948,0
34,2017,8,9/21/2017,2,0,2,0,5,8,0,4,2,447,1,95,3,1,2017,9,21,0.212527964,0
35,2017,11,10/16/2017,1,0,2,0,5,28,0,4,2,403,1,67,3,1,2017,10,16,0.166253102,0
36,2017,10,10/9/2017,1,2,2,0,2,16,0,4,2,457,2,97,3,1,2017,10,9,0.212253829,0
37,2017,3,8/14/2017,1,2,2,0,5,15,0,4,2,419,1,183,4,2,2017,8,14,0.436754177,1
38,2017,4,8/23/2017,4,0,2,0,5,15,0,4,2,386,1,157,4,2,2017,8,23,0.406735751,1
39,2017,1,8/3/2017,2,0,2,0,0,29,0,4,2,354,2,134,4,2,2017,8,3,0.378531073,1
40,2017,1,8/3/2017,2,2,2,0,2,16,0,4,2,409,1,197,4,2,2017,8,3,0.481662592,1
