Week,Reg,Module_X_Lecture_attendance,Module_X_Seminar_attendance,Mod_X_Lect_attendance_offline,Mod_X_Lect_attendance_online,Mod_X_Sem_attendance_offline,Mod_X_Sem_attendance_online,Module_A,Module_B,Module_C
1,40,37,35,22,15,21,14,0,0,0
2,40,25,36,15,10,22,14,0,0,0
3,40,18,35,11,7,21,14,0,0,0
4,40,15,30,9,6,18,12,0,0,0
5,40,10,15,6,4,9,6,0,1,0
6,40,10,20,6,4,12,8,0,0,0
7,40,5,10,3,2,6,4,0,0,1
8,40,8,15,5,3,9,6,1,0,0
9,40,30,37,27,3,37,0,0,0,0
10,40,4,5,2,2,3,2,0,1,0
11,40,27,30,16,11,18,12,0,0,0
12,40,30,37,25,5,37,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
,,week 9 - lecture preparation,week 9 - seminar assessment,,,,,,,
,,,,,,,,,,
,,week 12 -lecture preparation,week 12 seminar assessment,,,,,,,
,,,,,,,,,,
